Design,material,cut,thickness,dome_height,crack_pressure,ss_P_diff
0,dragon,triple_center,0.2,0.65,,
1,dragon,triple_center,0.4,1.2,,
2,dragon,double_dashed_x,0.6,1.6,,
3,dragon,double_dashed_x,1,2.25,,
4,dragon,two_parallel_lines,0.2,1.6,,
5,dragon,two_parallel_lines,0.4,2.25,,
6,dragon,triangle_hole,0.6,0.65,,
7,dragon,triangle_hole,1,1.2,,
8,eco,triple_center,0.2,2.25,,
9,eco,triple_center,0.4,1.6,,
10,eco,double_dashed_x,0.6,1.2,,
11,eco,double_dashed_x,1,0.65,,
12,eco,two_parallel_lines,0.2,1.2,,
13,eco,two_parallel_lines,0.4,0.65,,
14,eco,triangle_hole,0.6,2.25,,
15,eco,triangle_hole,1,1.6,,
