Design,material,lubricant,z_sh,z_r2,x_s,x_r2,Cl,g_thickness,p1_offset,p2_offset
1,PLA,None,6,76,-0.8,-0.25,0,6,-1,-1
2,PLA,None,7,81,-0.5,0,0.0001,8,0,0
3,PLA,None,8,83,0,0.5,0.0002,10,1,1
4,PLA,None,9,85,0.5,1,0.0003,12,2,2
5,PLA,LI,6,76,-0.5,0,0.0002,10,2,2
6,PLA,LI,7,81,-0.8,-0.25,0.0003,12,1,1
7,PLA,LI,8,83,0.5,1,0,6,0,0
8,PLA,LI,9,85,0,0.5,0.0001,8,-1,-1
9,PLA,Oil,6,81,0,1,0,8,1,2
10,PLA,Oil,7,76,0.5,0.5,0.0001,6,2,1
11,PLA,Oil,8,85,-0.8,0,0.0002,12,-1,0
12,PLA,Oil,9,83,-0.5,-0.25,0.0003,10,0,-1
13,PLA,PTFE,6,81,0.5,0.5,0.0002,12,0,-1
14,PLA,PTFE,7,76,0,1,0.0003,10,-1,0
15,PLA,PTFE,8,85,-0.5,-0.25,0,8,2,1
16,PLA,PTFE,9,83,-0.8,0,0.0001,6,1,2
17,ABS,None,6,85,-0.8,1,0.0001,10,0,1
18,ABS,None,7,83,-0.5,0.5,0,12,-1,2
19,ABS,None,8,81,0,0,0.0003,6,2,-1
20,ABS,None,9,76,0.5,-0.25,0.0002,8,1,0
21,ABS,LI,6,85,-0.5,0.5,0.0003,6,1,0
22,ABS,LI,7,83,-0.8,1,0.0002,8,2,-1
23,ABS,LI,8,81,0.5,-0.25,0.0001,10,-1,2
24,ABS,LI,9,76,0,0,0,12,0,1
25,ABS,Oil,6,83,0,-0.25,0.0001,12,2,0
26,ABS,Oil,7,85,0.5,0,0,10,1,-1
27,ABS,Oil,8,76,-0.8,0.5,0.0003,8,0,2
28,ABS,Oil,9,81,-0.5,1,0.0002,6,-1,1
29,ABS,PTFE,6,83,0.5,0,0.0003,8,-1,1
30,ABS,PTFE,7,85,0,-0.25,0.0002,6,0,2
31,ABS,PTFE,8,76,-0.5,1,0.0001,12,1,-1
32,ABS,PTFE,9,81,-0.8,0.5,0,10,2,0
