Design,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a [mm],gear_thickness
1.0,12.0,38.0,27.0,76.0,-0.8,0.8999999999999986,0.534,-0.25,20.080000000000002,6.0
2.0,14.0,38.0,32.0,81.0,-0.5,0.125,0.052,0.0,20.6,8.0
3.0,16.0,37.0,34.0,83.0,0.0,-0.25,-0.275,0.5,21.2,10.0
4.0,18.0,36.0,36.0,85.0,0.5,-0.625,-0.601,1.0,21.800000000000004,12.0
5.0,12.0,41.0,29.0,76.0,-0.5,-1.0,-0.594,0.0,20.2,10.0
6.0,14.0,39.0,32.0,81.0,-0.8,-0.4750000000000014,-0.292,-0.25,20.48,12.0
7.0,16.0,36.0,34.0,83.0,0.5,0.25,0.225,1.0,21.400000000000002,6.0
8.0,18.0,34.0,33.0,85.0,0.0,0.875,0.871,0.5,21.6,8.0
9.0,12.0,40.0,36.0,81.0,0.0,-0.5,-0.594,1.0,20.400000000000002,8.0
10.0,14.0,39.0,28.0,76.0,0.5,-0.875,-0.42,0.5,20.999999999999996,6.0
11.0,16.0,36.0,35.0,85.0,-0.8,0.6499999999999986,0.103,0.0,20.88,12.0
12.0,18.0,35.0,30.0,83.0,-0.5,0.375,0.621,-0.25,21.400000000000002,10.0
13.0,12.0,38.0,31.0,81.0,0.5,0.0,0.934,0.5,20.6,12.0
14.0,14.0,36.0,28.0,76.0,0.0,0.625,0.08,1.0,20.800000000000004,10.0
15.0,16.0,39.0,35.0,85.0,-0.5,-0.75,-0.052,-0.25,21.0,8.0
16.0,18.0,37.0,34.0,83.0,-0.8,-0.22500000000000142,-0.751,0.0,21.28,6.0
17.0,12.0,39.0,40.0,85.0,-0.8,0.2749999999999986,-0.334,1.0,20.080000000000002,10.0
18.0,14.0,37.0,37.0,83.0,-0.5,0.75,-0.83,0.5,20.6,12.0
19.0,16.0,38.0,29.0,81.0,0.0,-0.875,0.607,0.0,21.200000000000003,6.0
20.0,18.0,36.0,23.0,76.0,0.5,-0.5,0.267,-0.25,21.8,8.0
21.0,12.0,39.0,37.0,85.0,-0.5,-0.125,0.288,0.5,20.200000000000003,6.0
22.0,14.0,40.0,35.0,83.0,-0.8,-0.8500000000000014,0.576,1.0,20.479999999999997,8.0
23.0,16.0,35.0,31.0,81.0,0.5,0.625,-0.643,-0.25,21.400000000000002,10.0
24.0,18.0,36.0,25.0,76.0,0.0,0.0,-0.011,0.0,21.6,12.0
25.0,12.0,40.0,34.0,83.0,0.0,-0.625,0.038,-0.25,20.400000000000002,12.0
26.0,14.0,38.0,34.0,85.0,0.5,-0.25,0.698,0.0,21.0,10.0
27.0,16.0,37.0,28.0,76.0,-0.8,0.02499999999999858,-0.515,0.5,20.88,8.0
28.0,18.0,35.0,32.0,81.0,-0.5,0.5,-0.011,1.0,21.4,6.0
29.0,12.0,36.0,34.0,83.0,0.5,0.875,-0.184,0.0,20.600000000000005,8.0
30.0,14.0,37.0,36.0,85.0,0.0,0.25,-0.552,-0.25,20.8,6.0
31.0,16.0,38.0,27.0,76.0,-0.5,-0.375,0.58,1.0,21.0,12.0
32.0,18.0,38.0,31.0,81.0,-0.8,-0.6000000000000014,0.367,0.5,21.28,10.0
