Design,material,thickness,dome_height,cut_length,cut_geometry,crack_pressure,ss_P_diff
1,DS20,0.75,2.2,2,triple,0.511,0.148
2,DS20,0.2,1,0.75,X,0.104,0.10
3,DS20,0.5,3.8,1,slit,1,1
4,DS20,1.5,1.5,1.5,triple,1,1
5,E0030,0.75,1,1,triple,0.0918,0.08
6,E0030,0.2,2.2,1.5,slit,0.0466,0.0448
7,E0030,0.5,1.5,2,X,0.082,0.065
8,E0030,1.5,3.8,0.75,triple,0.382,0.3393
9,DS10,0.75,3.8,1.5,X,1,1
10,DS10,0.2,1.5,1,triple,0.01,0.01
11,DS10,0.5,2.2,0.75,triple,0.277,0.160
12,DS10,1.5,1,2,slit,1,1
13,E0050,0.75,1.5,0.75,slit,0.272,0.254
14,E0050,0.2,3.8,2,triple,0.01,0.01
15,E0050,0.5,1,1.5,triple,0.08,0.074
16,E0050,1.5,2.2,1,X,,
