z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,Ratio,eta_fwd,eta_bwd
6,42,29,73,0.5,0.25,0.0,1.5,107.57894736842105,0.7952937159008047,0.7704298082346048
6,42,29,73,0.5,0.25,0.25,1.5,107.57894736842105,0.7951291219130792,0.7701955755027556
6,42,29,73,0.5,0.0,0.25,1.5,107.57894736842105,0.7938539019180891,0.76894678250638
6,42,29,73,0.5,0.5,0.0,1.5,107.57894736842105,0.7932152180243831,0.7683940593730574
6,42,29,73,0.25,0.25,0.25,1.5,107.57894736842105,0.7916030086557458,0.7663726381593535
6,42,29,73,0.5,0.25,0.0,1.25,107.57894736842105,0.7916343449047167,0.7651943704023337
6,42,29,73,0.5,0.0,0.5,1.5,107.57894736842105,0.7907738745770297,0.7645419413659815
6,42,29,73,0.5,0.0,0.0,1.25,107.57894736842105,0.7903647297975321,0.7639536863462086
6,42,29,73,0.25,0.5,0.0,1.5,107.57894736842105,0.789690795532696,0.7645730928906187
6,42,29,73,0.5,0.0,0.25,1.25,107.57894736842105,0.7902019084073618,0.7637193820895863
6,42,29,73,0.25,0.5,0.25,1.5,107.57894736842105,0.7895275677136007,0.7643402317563228
6,42,29,73,0.5,0.5,-0.25,1.5,107.57894736842105,0.7899806356369622,0.7637694394957771
6,42,29,73,0.25,0.25,0.5,1.5,107.57894736842105,0.7885355816303691,0.7619748158126951
6,42,29,73,0.25,0.25,0.0,1.25,107.57894736842105,0.78812810838822,0.7613874981344785
6,42,29,73,0.25,0.25,0.25,1.25,107.57894736842105,0.787965952047746,0.7611535672246349
6,42,29,73,0.5,0.25,-0.25,1.25,107.57894736842105,0.7884210022928101,0.7605485460041421
6,42,29,73,0.25,0.0,0.5,1.5,107.57894736842105,0.7872669087446698,0.7607348506220175
6,42,30,76,0.5,0.25,-0.5,0.0,103.80487804878048,0.7993898016164389,0.7760482611266956
6,42,29,73,0.5,-0.25,0.5,1.5,107.57894736842105,0.7868252219750717,0.7606807219438135
6,42,29,73,0.25,0.0,0.25,1.25,107.57894736842105,0.7866981956376291,0.7599149384556355
6,42,29,73,0.5,-0.25,0.25,1.25,107.57894736842105,0.7862561118629654,0.759862316895829
6,42,29,73,0.25,0.5,0.0,1.25,107.57894736842105,0.7860617780105954,0.7593683122328097
6,42,29,73,0.5,0.5,-0.25,1.25,107.57894736842105,0.7863604662339584,0.7585389069427623
6,42,30,76,0.5,0.5,-0.5,0.0,103.80487804878048,0.7973005986315884,0.7739976663194741
6,42,29,73,0.25,0.75,0.0,1.5,107.57894736842105,0.7828523989128295,0.7578711867844153
6,42,29,73,0.5,0.75,-0.25,1.5,107.57894736842105,0.7831615032483852,0.7570989458337554
6,42,29,73,0.25,0.5,-0.25,1.25,107.57894736842105,0.7828750543726933,0.7547496924073128
6,42,30,76,0.5,0.5,-0.5,0.25,103.80487804878048,0.7943431870513584,0.7698132946679405
6,42,30,76,0.25,0.5,-0.5,0.0,103.80487804878048,0.7937882441857909,0.7702058416331924
6,42,30,76,0.5,0.25,-0.25,0.0,103.80487804878048,0.7942440052332107,0.7687430367586603
6,42,29,73,0.25,0.75,-0.25,1.5,107.57894736842105,0.7796640937861794,0.7533018735426348
6,42,30,76,0.5,0.0,-0.25,0.0,103.80487804878048,0.7929702047793454,0.7674965989046256
6,42,29,73,0.25,-0.25,0.5,1.25,107.57894736842105,0.779738095493966,0.7516862369524672
6,42,29,73,0.5,0.0,0.0,1.0,107.57894736842105,0.7807307465708685,0.7498861713567565
6,42,29,74,0.5,0.25,-0.25,0.75,99.85542168674698,0.8046791735411938,0.7832602440249791
6,42,30,76,0.5,0.25,-0.5,-0.25,103.80487804878048,0.7917913242332305,0.76522036351891
6,42,30,76,0.5,0.25,-0.25,0.25,103.80487804878048,0.7913168258574477,0.7645357902145071
6,42,30,76,0.25,0.25,-0.25,0.0,103.80487804878048,0.7907579569544835,0.76497208666274
6,42,31,78,0.5,0.25,-0.5,-0.75,107.85185185185183,0.7791567937356114,0.7469113502618993
6,42,29,73,0.5,0.5,-0.5,1.25,107.57894736842105,0.779206622337959,0.7480294570593856
6,42,30,76,0.5,0.0,-0.5,-0.25,103.80487804878048,0.790521457364196,0.7639796373176169
6,42,29,73,0.5,-0.5,0.5,1.25,107.57894736842105,0.7769902636432959,0.7493889344489535
6,42,29,74,0.5,0.5,-0.25,0.75,99.85542168674698,0.8025761467977829,0.7811905926005059
6,42,29,73,0.25,0.25,0.0,1.0,107.57894736842105,0.7785333308071098,0.7473423987062233
6,42,31,78,0.5,0.0,-0.5,-0.75,107.85185185185183,0.777907189998028,0.7457003102445482
6,42,29,73,0.5,0.25,-0.25,1.0,107.57894736842105,0.7788492474994324,0.7464340484138262
6,42,29,74,0.5,0.25,0.0,0.75,99.85542168674698,0.8024592482155406,0.7801647221456687
6,42,30,76,0.5,0.5,-0.25,0.25,103.80487804878048,0.7892487215719028,0.7625156154394579
6,42,29,73,0.0,0.5,0.25,1.5,107.57894736842105,0.7753330567731591,0.7489344752301929
6,42,29,73,0.25,0.75,-0.25,1.25,107.57894736842105,0.7760956792604524,0.7481338938404603
6,42,30,76,0.25,0.5,-0.25,0.0,103.80487804878048,0.7886847315861548,0.7629433944969977
6,42,29,73,0.25,0.0,0.0,1.0,107.57894736842105,0.777280750517244,0.7461262449165145
6,42,30,76,0.5,0.75,-0.5,0.25,103.80487804878048,0.7874863970110558,0.763090016100507
6,42,30,76,0.25,0.75,-0.5,0.0,103.80487804878048,0.7869143653503813,0.7634545613683329
